Citizen ID,Citizen Name,Total Medals,Defender Medals,Avg Dmg Defender,Attacker Medals,Avg Dmg Attacker
1844547,Wigol,86,45,13913,41,8024
8570390,Gigaphis,85,44,43032,41,159048
1859225,FAF Babieca,51,28,51456,23,27277
8549926,Barriga Verde,42,22,51028,20,669930
2075885,superpaco,37,0,,37,23869
9072710,MalpaCK,30,19,53024,11,32166
9650717,enrijeje,29,14,50730,15,246040
6850122,ALUMINIO DAVID,25,6,57517,19,38513
4639717,CalvoSotelo,25,11,37328,14,41579
806422,Fucchero,25,19,70664,6,28306
9023514,ClayDark25,25,12,65409,13,41748
4472444,Fbforce,24,13,52799,11,32958
2516617,Cronos85,21,11,37753,10,30577
8566871,Sir Cocodrile,21,16,177060,5,31979
7503676,artillerohonorario,18,12,29292,6,31388
2818395,SIR BREHOGAN,18,10,43561,8,26704
2388813,Li Shaoran,17,9,27805,8,25296
1773643,Rosa Violet Carson,17,6,154403,11,46343
2081012,Ignatius Cas,17,9,49823,8,24423
2259910,piralis,16,7,56873,9,41427
3504635,Elthain,15,2,53961,13,30940
2443916,Bartolo Montador,14,8,61551,6,22298
1359285,Pokerman3o,13,6,71664,7,63200
5888333,Al Morrana,13,10,70598,3,43732
9428251,Solon.equitas,13,10,38391,3,17607
3188329,carlicos,13,7,65989,6,33656
2163753,5koo,13,6,76200,7,31552
3412205,celamino,12,7,48161,5,30587
2416782,DeKaDrek,12,5,111118,7,36729
2685810,moas,11,6,65266,5,60644
5544630,gat0fIauta,11,5,61309,6,206796
9694061,V E N 0 M,11,7,40675,4,31955
2512457,fegom,11,5,42246,6,28168
2917329,Coronel Fedecker,11,4,72788,7,27589
5958066,AL Toni,11,8,61068,3,28538
2463107,Duke09,10,9,45520,1,33884
2246805,lucarr,9,2,33998,7,32065
1824760,T4d3o,9,4,52553,5,38796
1771136,Ddraig Goch,9,8,46126,1,24750
2672268,cabronson,9,0,,9,41930
1712083,just Djox,9,5,61097,4,73995
2050599,thefound,9,4,1170636,5,32659
7181198,TEO CUBANO,8,6,30581,2,30084
996802,eSmorena,8,0,,8,23008
3771612,Cancerberus7,8,2,48459,6,32063
6471796,Salduie,8,7,94831,1,31284
5286325,Canciller Palpatine,8,5,560201,3,26187
5234072,NohTrim,8,4,582041,4,35157
3118486,Mauos,8,6,49527,2,26301
9721991,PatatoBravo,8,8,31798,0,
1836111,Bucaner,8,1,55325,7,24392
1935026,tharmjk,7,5,70648,2,31458
297201,Bleeding,7,5,38693,2,37213
5616727,Alwairson,7,3,58057,4,30740
6462833,PachiG,6,1,34550,5,30834
933952,MinaRipli,6,3,48618,3,67192
2674077,iceman zgz,6,2,79607,4,44904
2722623,Mario eCommie,6,2,34588,4,39915
1802292,Abel Saint Ange,5,5,38784,0,
6483543,FAF Raheem,5,3,53104,2,49563
1849200,Chechoo,5,5,52890,0,
1808756,m60a3tts,5,4,67371,1,59845
3296250,Camdrecot de Sagallum,5,2,32410,3,26200
8583981,Aragoa,4,4,59400,0,
930432,SinuniS 5o3,4,2,39426,2,40549
9569183,Caranchoa,4,0,,4,47061
3593524,el cansino,4,3,32239,1,36028
2939746,PLR CTM,4,1,36708,3,39406
6272377,Tomas Gravesen,4,2,88941,2,113231
8139816,Maria Antonieta II,4,4,118787,0,
5476743,poggo,4,2,43412,2,36481
3231915,Daniel_O,4,3,36652,1,34243
2917967,Meditation Mode,3,0,,3,20928
1507999,Marko miramar,3,1,53827,2,57635
1561071,Mithgil,3,1,26797,2,82571
1692710,leodiante,3,2,116023,1,93114
2254818,el pertur,3,1,43344,2,25872
2429648,Valky Vala,3,3,46954,0,
8119635,MrXavi,3,1,63767,2,37712
8898372,Warmkunin3572,3,2,58566,1,23878
4993988,SALZEDA,2,1,60412,1,79090
5988058,Thrawn666,2,0,,2,33772
6244926,Hans Kone,2,1,30606,1,23806
2469339,Victor Reguant,2,1,9717,1,19311
2429126,Evvyt4,2,1,47848,1,55154
7476910,Oscar Carazo,2,1,3030,1,10100
1903558,Mudelanian,2,1,56458,1,30624
1885889,Masf,2,2,46347,0,
1875133,Trancalgesio,2,0,,2,72977
1868140,arteida,2,2,37260,0,
1832289,Portugallaecia,2,1,60120,1,57482
2999963,Nehs,2,1,158152,1,104877
7612820,GanosLal,2,0,,2,103100
5569776,Imakaze,2,1,187704,1,49580
592092,Etele,2,2,103833,0,
2130271,Draven Targaryen,1,0,,1,35952
2084595,gofii,1,0,,1,30794
1991314,Astrovago,1,0,,1,36360
9740066,Fausto Alcron,1,1,92990,0,
1366805,ediporey,1,0,,1,59950
9716634,Cierzo85,1,1,83200,0,
5593622,zetchan,1,0,,1,27320
5579658,Oddx,1,0,,1,77845
5563825,SpainEmpire,1,0,,1,12524
5786353,AustralKiller,1,1,63852,0,
5816633,NerdStark,1,1,56035,0,
5931931,NueveOcho Living Skeleton,1,1,38154,0,
5931931,cCc NueveOcho cCc,1,1,88690,0,
5934582,Akim emoji de estrellita,1,1,24885,0,
5950071,mollock,1,0,,1,59814
3079566,pedro joaquin,1,1,68586,0,
2854777,astu30,1,1,738,0,
2653167,Tardivas,1,1,17550,0,
2499531,Sr. Morales,1,0,,1,17408
2396509,Zack Fitz,1,0,,1,52125
2384078,JackRyan,1,1,75700,0,
2202185,pamplinasami,1,1,55176,0,
